"AMA INA","Basin","Subbasin","YEAR","Owner or BMP Operator","Right Number","Right Type","Well Id","CADASTRAL","AF Pumped","Movement Type","Water Type","LAT_DEGREES","LAT_MINUTES","LAT_SECONDS","LONG_DEGREES","LONG_MINUTES","LONG_SECONDS","PROGRAM"
"TUCSON AMA","TUCSON AMA","UPPER SANTA CRUZ","1999","JAY LYNN TANKERSLEY","58-109008.0000","TYPE 2 NON-IRRIGATION GFR","084067","D-13-15 33DBB","9","WITHDRAWAL","GROUNDWATER","","","","","","","58"
"PHOENIX AMA","PHOENIX AMA","HASSAYAMPA","1999","STOTZ DAIRY","59-556467.0000","GENERAL INDUSTRIAL USE WITHDRAWAL PERM","084785","B-01-04 18AAC","108.69","WITHDRAWAL","GROUNDWATER","33","25","56.29","112","41","40.9","59"
"PHOENIX AMA","PHOENIX AMA","HASSAYAMPA","1999","STOTZ DAIRY","59-556467.0000","GENERAL INDUSTRIAL USE WITHDRAWAL PERM","084786","B-01-04 18AAD","74.048","WITHDRAWAL","GROUNDWATER","33","25","56.29","112","41","40.9","59"
"PHOENIX AMA","PHOENIX AMA","WEST SALT RIVER VALLEY","1999","CITY OF EL MIRAGE","56-002016.0000","LARGE MUNICIPAL PROVIDER","085252","B-03-01 13BAA","507.68","WITHDRAWAL","GROUNDWATER","33","36","30","112","18","56","56"
"PHOENIX AMA","PHOENIX AMA","EAST SALT RIVER VALLEY","1999","","58-100117.0000","TYPE 2 NON-IRRIGATION GFR","085339","D-02-06 34AAD","49.68","WITHDRAWAL","GROUNDWATER","33","12","59","111","43","12","58"
"TUCSON AMA","TUCSON AMA","UPPER SANTA CRUZ","1999","CITY OF TUCSON/TUCSON WATER","56-000001.0000","LARGE MUNICIPAL PROVIDER","085358","D-14-15 06ADB","251.8","WITHDRAWAL","GROUNDWATER","32","14","48.22","110","50","36.35","56"
"PINAL AMA","PINAL AMA","ELOY","1999","CENTRAL ARIZONA IRRIGATION & DRAINAGE DISTRICT","57-001101.0000","IRRIGATION DISTRICT (SW & GW)","085622","D-08-07 11ADD","1.02","WITHDRAWAL","GROUNDWATER","","","","","","","57"
"PINAL AMA","PINAL AMA","MARICOPA-STANFIELD","1999","MARICOPA STANFIELD IRRIGATION","57-001103.0000","IRRIGATION DISTRICT (SW & GW)","085665","D-06-03 34AAA","2252.57","WITHDRAWAL","GROUNDWATER","","","","","","","57"
"PHOENIX AMA","PHOENIX AMA","HASSAYAMPA","1999","STOTZ DAIRY","59-556467.0000","GENERAL INDUSTRIAL USE WITHDRAWAL PERM","085683","B-01-04 18AAC","102.011","WITHDRAWAL","GROUNDWATER","33","25","56.4","112","41","47.8","59"
"TUCSON AMA","TUCSON AMA","UPPER SANTA CRUZ","1999","TUCSON READY MIX, INC","59-512014.0000","MINERAL EXTRACTION","085685","D-15-16 19AAA","264.89","WITHDRAWAL","GROUNDWATER","","","","","","","59"
"PHOENIX AMA","PHOENIX AMA","WEST SALT RIVER VALLEY","1999","TRIPLE G FARMS","59-085686.0000","GENERAL INDUSTRIAL USE WITHDRAWAL PERM","085686","B-01-01 14DAC","85.54","WITHDRAWAL","GROUNDWATER","33","25","32","112","19","37","59"
"PHOENIX AMA","PHOENIX AMA","EAST SALT RIVER VALLEY","1999","ALLIED CONCRETE & MATERIALS CO","59-085690.0000","MINERAL EXTRACTION","085690","A-02-06 29DDD","6.14","WITHDRAWAL","GROUNDWATER","","","","","","","59"
"TUCSON AMA","TUCSON AMA","UPPER SANTA CRUZ","1999","PIMA COUNTY PARKS & RECREATION","59-085744.0000","GENERAL INDUSTRIAL USE WITHDRAWAL PERM","085744","D-12-13 19ADA","28.78","WITHDRAWAL","GROUNDWATER","","","","","","","59"
"PHOENIX AMA","PHOENIX AMA","EAST SALT RIVER VALLEY","1999","ARNOLD ANGLIN","59-501146.0000","GENERAL INDUSTRIAL USE WITHDRAWAL PERM","085994","D-02-07 14AB","82.44","WITHDRAWAL","GROUNDWATER","","","","","","","59"
"PINAL AMA","PINAL AMA","MARICOPA-STANFIELD","1999","NORTHSIDE HAY COMPANY INC","58-150072.0002","TYPE 2 NON-IRRIGATION GFR","086077","D-05-04 08DDD","249.29","WITHDRAWAL","GROUNDWATER","","","","","","","58"
"PINAL AMA","PINAL AMA","ELOY","1999","SUNDANCE FARMS LTD.PTNSP","58-102331.0001","IRRIGATION USE","086169","D-05-07 25CAC","42.92","WITHDRAWAL","GROUNDWATER","","","","","","","58"
"PINAL AMA","PINAL AMA","MARICOPA-STANFIELD","1999","MARICOPA STANFIELD IRRIGATION","57-001103.0000","IRRIGATION DISTRICT (SW & GW)","086247","D-05-03 12CDD","1764.9","WITHDRAWAL","GROUNDWATER","","","","","","","57"
"DOUGLAS INA","DOUGLAS INA","DOUGLAS","1999","BRENDA B PERLMAN TRUST","60-203175.0000","IRRIGATION USE","086308","D-20-26 26BDD","2","WITHDRAWAL","GROUNDWATER","","","","","","","60"
"SANTA CRUZ AMA","SANTA CRUZ AMA","SANTA CRUZ AMA","1999","TROYER, GARY G.","58-103495.0001","IRRIGATION USE","086314","D-21-13 17ACC","58.103","WITHDRAWAL","GROUNDWATER","","","","","","","58"
"PHOENIX AMA","PHOENIX AMA","WEST SALT RIVER VALLEY","1999","BIG RED LAND INVESTMENTS INC","58-101595.0005","IRRIGATION USE","086408","B-03-01 20BBB","317.141","WITHDRAWAL","GROUNDWATER","33","35","","112","23","","58"
"DOUGLAS INA","DOUGLAS INA","DOUGLAS","1999","EVELYN SIMMONS SMITH","60-203303.0000","IRRIGATION USE","086552","D-18-26 21DAC","14","WITHDRAWAL","GROUNDWATER","","","","","","","60"
"PINAL AMA","PINAL AMA","ELOY","1999","CENTRAL ARIZONA IRRIGATION & DRAINAGE DISTRICT","57-001101.0000","IRRIGATION DISTRICT (SW & GW)","086602","D-08-06 26DBB","853.95","WITHDRAWAL","GROUNDWATER","","","","","","","57"
"DOUGLAS INA","DOUGLAS INA","DOUGLAS","1999","MILLER, MICHAEL D & GWEN E","60-203211.0000","IRRIGATION USE","086641","D-18-26 22CDD","324.499","WITHDRAWAL","GROUNDWATER","","","","","","","60"
"DOUGLAS INA","DOUGLAS INA","DOUGLAS","1999","CARLOS SANUDO","60-203212.0001","IRRIGATION USE","086643","D-18-26 28ACD","0.54","WITHDRAWAL","GROUNDWATER","","","","","","","60"
"PINAL AMA","PINAL AMA","ELOY","1999","CENTRAL ARIZONA IRRIGATION & DRAINAGE DISTRICT","57-001101.0000","IRRIGATION DISTRICT (SW & GW)","086830","D-07-06 34DCC","909.63","WITHDRAWAL","GROUNDWATER","","","","","","","57"
"PINAL AMA","PINAL AMA","ELOY","1999","CENTRAL ARIZONA IRRIGATION & DRAINAGE DISTRICT","57-001101.0000","IRRIGATION DISTRICT (SW & GW)","086835","D-08-08 12DAD","343.06","WITHDRAWAL","GROUNDWATER","","","","","","","57"
"TUCSON AMA","TUCSON AMA","UPPER SANTA CRUZ","1999","ARIZONA DEPT. OF CORRECTIONS - TUCSON","56-000362.0000","LARGE MUNICIPAL PROVIDER MNPCCP","086902","D-16-14 01DAD","74.59","WITHDRAWAL","GROUNDWATER","","","","","","","56"
"PHOENIX AMA","PHOENIX AMA","EAST SALT RIVER VALLEY","1999","ARIE HELMUT  DE JONG","58-110673.0006","TYPE 1 GFR","086951","D-02-06 16BAB","63.92","WITHDRAWAL","GROUNDWATER","","","","","","","58"
"PINAL AMA","PINAL AMA","MARICOPA-STANFIELD","1999","MARICOPA STANFIELD IRRIGATION","57-001103.0000","IRRIGATION DISTRICT (SW & GW)","086952","D-05-03 21DDC","31.24","WITHDRAWAL","GROUNDWATER","","","","","","","57"
"PINAL AMA","PINAL AMA","MARICOPA-STANFIELD","1999","ANDERSON BROTHERS FARM WATER","56-001303.0000","MUNICIPAL PROVIDER (GW ONLY)","087174","D-06-04 04DDD","49.1","WITHDRAWAL","GROUNDWATER","","","","","","","56"
"PINAL AMA","PINAL AMA","ELOY","1999","CENTRAL ARIZONA IRRIGATION & DRAINAGE DISTRICT","57-001101.0000","IRRIGATION DISTRICT (SW & GW)","087194","D-08-06 26DDA","527.04","WITHDRAWAL","GROUNDWATER","","","","","","","57"
"PINAL AMA","PINAL AMA","ELOY","1999","CENTRAL ARIZONA IRRIGATION & DRAINAGE DISTRICT","57-001101.0000","IRRIGATION DISTRICT (SW & GW)","087213","D-09-08 36ADD","177.96","WITHDRAWAL","GROUNDWATER","","","","","","","57"
"PINAL AMA","PINAL AMA","MARICOPA-STANFIELD","1999","MARICOPA STANFIELD IRRIGATION","57-001103.0000","IRRIGATION DISTRICT (SW & GW)","087270","D-06-04 18DBB","494.36","WITHDRAWAL","GROUNDWATER","","","","","","","57"
"PHOENIX AMA","PHOENIX AMA","EAST SALT RIVER VALLEY","1999","MOTOROLA SPS","58-112273.0003","TYPE 2 NON-IRRIGATION GFR","087443","A-01-05 19DCC","178","WITHDRAWAL","GROUNDWATER","","","","","","","58"
"TUCSON AMA","TUCSON AMA","UPPER SANTA CRUZ","1999","ORO VALLEY COUNTRY CLUB, INC.","58-101530.0000","TYPE 2 NON-IRRIGATION GFR","087589","D-12-13 13BCA","351","WITHDRAWAL","GROUNDWATER","","","","","","","58"
"PHOENIX AMA","PHOENIX AMA","EAST SALT RIVER VALLEY","1999","CITY OF PHOENIX","56-002030.0000","LARGE MUNICIPAL PROVIDER","087614","A-04-04 33CCC","128.3","WITHDRAWAL","GROUNDWATER","","","","","","","56"
"TUCSON AMA","TUCSON AMA","AVRA VALLEY","1999","PIMA COUNTY SOLID WASTE","59-087618.0000","GENERAL INDUSTRIAL USE WITHDRAWAL PERM","087618","D-12-11 02BAA","31.79","WITHDRAWAL","GROUNDWATER","","","","","","","59"
"PHOENIX AMA","PHOENIX AMA","WEST SALT RIVER VALLEY","1999","CITY OF BUCKEYE","56-002006.0000","LARGE MUNICIPAL PROVIDER MNPCCP","087674","C-01-03 05BAA","1017.6","WITHDRAWAL","GROUNDWATER","","","","","","","56"
"PHOENIX AMA","PHOENIX AMA","EAST SALT RIVER VALLEY","1999","DESERT HILLS WATER COMPANY","56-002169.0000","LARGE MUNICIPAL PROVIDER MNPCCP","087697","A-05-03 04CDC","0.35","WITHDRAWAL","GROUNDWATER","","","","","","","56"
"TUCSON AMA","TUCSON AMA","UPPER SANTA CRUZ","1999","VAIL WATER COMPANY","56-000060.0000","LARGE MUNICIPAL PROVIDER MNPCCP","087817","D-16-16 10DCB","5.4","WITHDRAWAL","GROUNDWATER","32","3","2.3","110","41","46.6","56"
"PHOENIX AMA","PHOENIX AMA","WEST SALT RIVER VALLEY","1999","SUN LAND BEEF CO","58-100177.0000","TYPE 2 NON-IRRIGATION GFR","500078","A-01-01 10CBA","1005","WITHDRAWAL","GROUNDWATER","33","26","35.42","112","15","2.25","58"
"PHOENIX AMA","PHOENIX AMA","WEST SALT RIVER VALLEY","1999","SCHUFF FAMILY TRUST DTD 6/28/83","58-100832.0002","IRRIGATION USE","500182","B-03-02 11DBA","158.9","WITHDRAWAL","GROUNDWATER","","","","","","","58"
"DOUGLAS INA","DOUGLAS INA","DOUGLAS","1999","ALAMO RANCH CO","60-203004.0000","IRRIGATION USE","500250","D-21-26 30CCB","147","WITHDRAWAL","GROUNDWATER","","","","","","","60"
"PHOENIX AMA","PHOENIX AMA","EAST SALT RIVER VALLEY","1999","CITY OF SCOTTSDALE","56-002037.0000","LARGE MUNICIPAL PROVIDER MNPCCP","500319","A-04-04 14DCC","3308.6","WITHDRAWAL","GROUNDWATER","","","","","","","56"
"TUCSON AMA","TUCSON AMA","UPPER SANTA CRUZ","1999","DAVIS/DENT II","58-100798.0001","TYPE 2 NON-IRRIGATION GFR","500445","D-14-13 34ADC","0.86","WITHDRAWAL","GROUNDWATER","","","","","","","58"
"TUCSON AMA","TUCSON AMA","AVRA VALLEY","1999","CORTARO-MARANA IRRIGATION DIST","57-000035.0000","IRRIGATION DISTRICT (SW & GW)","500556","D-11-11 28ACC","944.26","WITHDRAWAL","GROUNDWATER","","","","","","","57"
"PHOENIX AMA","PHOENIX AMA","EAST SALT RIVER VALLEY","1999","DAVE  BUCHLI","59-500591.0000","GENERAL INDUSTRIAL USE WITHDRAWAL PERM","500591","D-03-09 18BCC","57.2","WITHDRAWAL","GROUNDWATER","","","","","","","59"
"PHOENIX AMA","PHOENIX AMA","WEST SALT RIVER VALLEY","1999","IMSAMET INC, AN ARIZONA CORPORATION","58-101478.0002","TYPE 2 NON-IRRIGATION GFR","500659","B-01-01 20CBA","160.26","WITHDRAWAL","GROUNDWATER","33","24","48.152","112","23","18.572","58"
"PHOENIX AMA","PHOENIX AMA","WEST SALT RIVER VALLEY","1999","IMSAMET OF ARIZONA","59-546391.0000","MINERAL EXTRACTION","500659","B-01-01 20CBA","81.52","WITHDRAWAL","GROUNDWATER","33","24","48.152","112","23","18.572","59"
"PHOENIX AMA","PHOENIX AMA","EAST SALT RIVER VALLEY","1999","MICHAEL SCHUGG","59-500687.0000","GENERAL INDUSTRIAL USE WITHDRAWAL PERM","500687","D-02-06 17ABB","54.16","WITHDRAWAL","GROUNDWATER","33","15","48","111","45","50","59"
"PINAL AMA","PINAL AMA","ELOY","1999","K & D FARMS","59-500865.0000","GENERAL INDUSTRIAL USE WITHDRAWAL PERM","500865","D-06-07 07DCD","167.6","WITHDRAWAL","GROUNDWATER","","","","","","","59"
"PHOENIX AMA","PHOENIX AMA","WEST SALT RIVER VALLEY","1999","DWIGHT B LEISTER JR","58-103643.0000","IRRIGATION USE","500878","B-01-02 21ABB","490.95","WITHDRAWAL","GROUNDWATER","","","","","","","58"
"SANTA CRUZ AMA","SANTA CRUZ AMA","SANTA CRUZ AMA","1999","VALLE VERDE WATER COMPANY","56-000228.0000","SMALL MUNICIPAL PROVIDER","500951","D-23-13 25ABA","16.58","WITHDRAWAL","GROUNDWATER","","","","","","","56"
"TUCSON AMA","TUCSON AMA","UPPER SANTA CRUZ","1999","AZ BOARD OF REGENTS","59-086362.0000","GENERAL INDUSTRIAL USE WITHDRAWAL PERM","500957","D-15-15 33ADB","173.53","WITHDRAWAL","GROUNDWATER","","","","","","","59"
"PRESCOTT AMA","PRESCOTT AMA","UPPER AGUA FRIA","1999","BRADSHAW WATER COMPANY INC","56-003019.0000","SMALL MUNICIPAL PROVIDER","501033","B-14-01 34BBB","1.51","WITHDRAWAL","GROUNDWATER","","","","","","","56"
"PHOENIX AMA","PHOENIX AMA","RAINBOW VALLEY","1999","INTER INVEST PARTNERSHIP XI","58-101122.0001","IRRIGATION USE","501246","C-02-01 30DDD","168.96","WITHDRAWAL","GROUNDWATER","","","","","","","58"
"PHOENIX AMA","PHOENIX AMA","WEST SALT RIVER VALLEY","1999","CITY OF AVONDALE","56-002003.0000","LARGE MUNICIPAL PROVIDER MNPCCP","501247","B-02-01 26AAA","1380.8","WITHDRAWAL","GROUNDWATER","","","","","","","56"
"TUCSON AMA","TUCSON AMA","UPPER SANTA CRUZ","1999","D N D NEFFSON COMPANY","58-112459.0000","TYPE 2 NON-IRRIGATION GFR","501251","D-13-13 24BDA","30.74","WITHDRAWAL","GROUNDWATER","","","","","","","58"
"PHOENIX AMA","PHOENIX AMA","WEST SALT RIVER VALLEY","1999","CITY OF AVONDALE","56-002003.0000","LARGE MUNICIPAL PROVIDER MNPCCP","501288","B-02-01 23DDD","1449.92","WITHDRAWAL","GROUNDWATER","","","","","","","56"
"PINAL AMA","PINAL AMA","ELOY","1999","CENTRAL ARIZONA IRRIGATION & DRAINAGE DISTRICT","57-001101.0000","IRRIGATION DISTRICT (SW & GW)","501336","D-07-06 35AAD","1185.25","WITHDRAWAL","GROUNDWATER","32","46","27","111","41","16","57"
"PHOENIX AMA","PHOENIX AMA","HASSAYAMPA","1999","RUTH FISHER SCHOOL","59-501391.0000","GENERAL INDUSTRIAL USE WITHDRAWAL PERM","501391","B-02-06 28AAC","62.74","WITHDRAWAL","GROUNDWATER","","","","","","","59"
"PINAL AMA","PINAL AMA","ELOY","1999","SHIFLET, HAZEL W","58-101393.0001","IRRIGATION USE","501562","D-06-08 04ADC","2.69","WITHDRAWAL","GROUNDWATER","","","","","","","58"
"TUCSON AMA","TUCSON AMA","UPPER SANTA CRUZ","1999","METRO DOMESTIC WID","56-000349.0000","LARGE MUNICIPAL PROVIDER","501604","D-12-13 33BCC","342.8","WITHDRAWAL","GROUNDWATER","","","","","","","56"
"PRESCOTT AMA","PRESCOTT AMA","LITTLE CHINO","1999","CHINO VALLEY SCHOOL (DEL RIO)","59-570754.0000","GENERAL INDUSTRIAL USE WITHDRAWAL PERM","501609","B-16-02 16DDD","46.2","WITHDRAWAL","GROUNDWATER","","","","","","","59"
"PHOENIX AMA","PHOENIX AMA","EAST SALT RIVER VALLEY","1999","CITY OF PHOENIX","56-002030.0000","LARGE MUNICIPAL PROVIDER","501643","A-03-04 03BAA","107.2","WITHDRAWAL","GROUNDWATER","","","","","","","56"
"TUCSON AMA","TUCSON AMA","UPPER SANTA CRUZ","1999","COUNTRY CLUB OF GREEN VALLEY INC.","58-101735.0000","TYPE 2 NON-IRRIGATION GFR","501760","D-18-13 02DCA","608","WITHDRAWAL","GROUNDWATER","","","","","","","58"
"PHOENIX AMA","PHOENIX AMA","WEST SALT RIVER VALLEY","1999","CITY OF GOODYEAR","56-002019.0000","LARGE MUNICIPAL PROVIDER","501892","B-01-01 17AAA","880.191","WITHDRAWAL","GROUNDWATER","33","26","3","112","22","55","56"
"SANTA CRUZ AMA","SANTA CRUZ AMA","SANTA CRUZ AMA","1999","VALLE VERDE WATER COMPANY","56-000228.0000","SMALL MUNICIPAL PROVIDER","502001","D-23-13 25BDD","84.12","WITHDRAWAL","GROUNDWATER","","","","","","","56"
"PINAL AMA","PINAL AMA","ELOY","1999","CENTRAL ARIZONA IRRIGATION & DRAINAGE DISTRICT","57-001101.0000","IRRIGATION DISTRICT (SW & GW)","502060","D-09-07 27ADA","46.92","WITHDRAWAL","GROUNDWATER","","","","","","","57"
"PINAL AMA","PINAL AMA","ELOY","1999","DU-BROOK INVESTMENTS","58-150105.0002","TYPE 1 GFR","502062","D-06-07 24CDD","39.62","WITHDRAWAL","GROUNDWATER","","","","","","","58"
"TUCSON AMA","TUCSON AMA","UPPER SANTA CRUZ","1999","CITY OF TUCSON/TUCSON WATER","56-000001.0000","LARGE MUNICIPAL PROVIDER","502179","D-14-15 02DDA","186.2","WITHDRAWAL","GROUNDWATER","","","","","","","56"
"TUCSON AMA","TUCSON AMA","UPPER SANTA CRUZ","1999","CITY OF TUCSON/TUCSON WATER","56-000001.0000","LARGE MUNICIPAL PROVIDER","502180","D-14-15 14DAD","1093.9","WITHDRAWAL","GROUNDWATER","","","","","","","56"
"TUCSON AMA","TUCSON AMA","UPPER SANTA CRUZ","1999","CITY OF TUCSON/TUCSON WATER","56-000001.0000","LARGE MUNICIPAL PROVIDER","502181","D-16-15 23CCC","101","WITHDRAWAL","GROUNDWATER","32","1","11.23","110","47","27.4","56"
"PHOENIX AMA","PHOENIX AMA","EAST SALT RIVER VALLEY","1999","ROOSEVELT WATER CONSERVATION DISTRICT","57-002518.0000","IRRIGATION DISTRICT (SW & GW)","502202","A-01-06 26BAD","1584.12","WITHDRAWAL","GROUNDWATER","","","","","","","57"
"PHOENIX AMA","PHOENIX AMA","EAST SALT RIVER VALLEY","1999","ROOSEVELT WATER CONSERVATION DISTRICT","57-002518.0000","IRRIGATION DISTRICT (SW & GW)","502203","A-01-06 26BAD","628.97","WITHDRAWAL","GROUNDWATER","","","","","","","57"
"SANTA CRUZ AMA","SANTA CRUZ AMA","SANTA CRUZ AMA","1999","STEWERT TITLE","58-108171.0001","TYPE 2 NON-IRRIGATION GFR","502259","D-20-13 13AAC","6.4","WITHDRAWAL","GROUNDWATER","","","","","","","58"
"PINAL AMA","PINAL AMA","ELOY","1999","VANDERSLICE, ELEANOR","58-112719.0001","IRRIGATION USE","502442","D-06-06 28ACC","14.85","WITHDRAWAL","GROUNDWATER","","","","","","","58"
"TUCSON AMA","TUCSON AMA","UPPER SANTA CRUZ","1999","WOOTTON JAMES C. & DIANE M.","58-109720.0001","TYPE 1 GFR","502533","D-14-15 02ACC","106.08","WITHDRAWAL","GROUNDWATER","","","","","","","58"
"PINAL AMA","PINAL AMA","ELOY","1999","CENTRAL ARIZONA IRRIGATION & DRAINAGE DISTRICT","57-001101.0000","IRRIGATION DISTRICT (SW & GW)","502571","D-09-07 36DDD","118.34","WITHDRAWAL","GROUNDWATER","","","","","","","57"
"SANTA CRUZ AMA","SANTA CRUZ AMA","SANTA CRUZ AMA","1999","RIO RICO UTILITIES INC.","56-000041.0000","LARGE MUNICIPAL PROVIDER MNPCCP","502579","D-22-13 05ABD","522.119","WITHDRAWAL","GROUNDWATER","31","32","53","111","1","52","56"
"TUCSON AMA","TUCSON AMA","UPPER SANTA CRUZ","1999","LIVINGSTON PETER ARTHUR","58-109652.0003","TYPE 2 NON-IRRIGATION GFR","502740","D-14-15 01ABC","2.8","WITHDRAWAL","GROUNDWATER","","","","","","","58"
"PHOENIX AMA","PHOENIX AMA","WEST SALT RIVER VALLEY","1999","SALT RIVER PROJECT","57-002520.0000","IRRIGATION DISTRICT (SW & GW)","502752","A-03-02 17BCC","1195.83","WITHDRAWAL","GROUNDWATER","","","","","","","57"
"PINAL AMA","PINAL AMA","MARICOPA-STANFIELD","1999","MARICOPA STANFIELD IRRIGATION","57-001103.0000","IRRIGATION DISTRICT (SW & GW)","502756","D-05-04 34DDC","1285.71","WITHDRAWAL","GROUNDWATER","","","","","","","57"
"TUCSON AMA","TUCSON AMA","UPPER SANTA CRUZ","1999","K&V WATER COMPANY","56-000116.0000","SMALL MUNICIPAL PROVIDER","502836","D-13-15 32CAB","6.24","WITHDRAWAL","GROUNDWATER","","","","","","","56"
"TUCSON AMA","TUCSON AMA","UPPER SANTA CRUZ","1999","AZ STATE PARKS/CATALINA STATE PARKS","59-503058.0001","GENERAL INDUSTRIAL USE WITHDRAWAL PERM","503021","D-11-14 33CBB","4.14","WITHDRAWAL","GROUNDWATER","32","25","48","110","55","33.9","59"
"PHOENIX AMA","PHOENIX AMA","WEST SALT RIVER VALLEY","1999","CITY OF GOODYEAR","56-002019.0000","LARGE MUNICIPAL PROVIDER","503175","B-01-01 30ACD","0.525","WITHDRAWAL","GROUNDWATER","","","","","","","56"
"TUCSON AMA","TUCSON AMA","UPPER SANTA CRUZ","1999","CROSSROADS PARK, LLC","56-000200.0000","SMALL MUNICIPAL PROVIDER","503251","D-14-14 02BBA","76.38","WITHDRAWAL","GROUNDWATER","32","14","59.8","110","53","21","56"
"PHOENIX AMA","PHOENIX AMA","WEST SALT RIVER VALLEY","1999","VALLEY UTILITIES WATER COMPANY","56-002047.0000","LARGE MUNICIPAL PROVIDER MNPCCP","503273","B-02-01 11DCD","232.22","WITHDRAWAL","GROUNDWATER","","","","","","","56"
"TUCSON AMA","TUCSON AMA","AVRA VALLEY","1999","CORTARO-MARANA IRRIGATION DIST","57-000035.0000","IRRIGATION DISTRICT (SW & GW)","503290","D-11-10 13AAA","860.43","WITHDRAWAL","GROUNDWATER","","","","","","","57"
"TUCSON AMA","TUCSON AMA","UPPER SANTA CRUZ","1999","CORTARO-MARANA IRRIGATION DIST","57-000035.0000","IRRIGATION DISTRICT (SW & GW)","503291","D-12-12 21CAD","420.31","WITHDRAWAL","GROUNDWATER","","","","","","","57"
"TUCSON AMA","TUCSON AMA","UPPER SANTA CRUZ","1999","WOOTTON JAMES C. & DIANE M.","58-109720.0001","TYPE 1 GFR","503670","D-14-15 02DBD","15.09","WITHDRAWAL","GROUNDWATER","","","","","","","58"
"TUCSON AMA","TUCSON AMA","UPPER SANTA CRUZ","1999","CORTARO-MARANA IRRIGATION DIST","57-000035.0000","IRRIGATION DISTRICT (SW & GW)","503931","D-12-12 16BDD","460.02","WITHDRAWAL","GROUNDWATER","","","","","","","57"
"PHOENIX AMA","PHOENIX AMA","EAST SALT RIVER VALLEY","1999","NATIONAL MEMORIAL CEMETERY","59-503959.0000","GENERAL INDUSTRIAL USE WITHDRAWAL PERM","503959","A-04-03 13BAA","6.985","WITHDRAWAL","GROUNDWATER","","","","","","","59"
"TUCSON AMA","TUCSON AMA","UPPER SANTA CRUZ","1999","","56-000088.0000","LARGE MUNICIPAL PROVIDER","503963","D-14-16 05CAD","163.16","WITHDRAWAL","GROUNDWATER","","","","","","","56"
"DOUGLAS INA","DOUGLAS INA","DOUGLAS","1999","DOUGLAS CITY OF","60-203060.0000","NON-IRRIGATION USE","504004","D-24-28 07CDC","391.3","WITHDRAWAL","GROUNDWATER","","","","","","","60"
"PHOENIX AMA","PHOENIX AMA","WEST SALT RIVER VALLEY","1999","BUCKEYE WATER CONSERVATION & DRAINAGE DISTRICT.","57-002503.0000","IRRIGATION DISTRICT (SW & GW)","504164","C-01-04 12CBD","775","WITHDRAWAL","GROUNDWATER","33","21","8.28","112","36","59.04","57"
"TUCSON AMA","TUCSON AMA","UPPER SANTA CRUZ","1999","KAI HERBERT","58-109169.0000","IRRIGATION USE","504198","D-12-12 08ABD","466.845","WITHDRAWAL","GROUNDWATER","","","","","","","58"
