"AMA INA","Basin","Subbasin","YEAR","Owner or BMP Operator","Right Number","Right Type","Well Id","CADASTRAL","AF Pumped","Movement Type","Water Type","LAT_DEGREES","LAT_MINUTES","LAT_SECONDS","LONG_DEGREES","LONG_MINUTES","LONG_SECONDS","PROGRAM"
"TUCSON AMA","TUCSON AMA","UPPER SANTA CRUZ","1994","VAIL WATER COMPANY","56-000060.0000","LARGE MUNICIPAL PROVIDER MNPCCP","625703","D-16-16 15CBB","114.52","WITHDRAWAL","GROUNDWATER","","","","","","","56"
"TUCSON AMA","TUCSON AMA","UPPER SANTA CRUZ","1994","COONAN ANN A","58-100923.0000","TYPE 2 NON-IRRIGATION GFR","625709","D-13-15 33BC","0.58","WITHDRAWAL","GROUNDWATER","","","","","","","58"
"TUCSON AMA","TUCSON AMA","UPPER SANTA CRUZ","1994","GREEN VALLEY INVESTORS LTD","58-104567.0000","TYPE 2 NON-IRRIGATION GFR","625711","D-18-13 11DCD","446.25","WITHDRAWAL","GROUNDWATER","","","","","","","58"
"TUCSON AMA","TUCSON AMA","UPPER SANTA CRUZ","1994","GREEN VALLEY INVESTORS LTD","58-104567.0000","TYPE 2 NON-IRRIGATION GFR","625712","D-18-13 11DCA","235.25","WITHDRAWAL","GROUNDWATER","","","","","","","58"
"DOUGLAS INA","DOUGLAS INA","DOUGLAS","1994","ALAMO RANCH CO.","60-203206.0001","IRRIGATION USE","625719","D-21-26 16DAD","263","WITHDRAWAL","GROUNDWATER","","","","","","","60"
"DOUGLAS INA","DOUGLAS INA","DOUGLAS","1994","ALAMO RANCH CO.","60-203206.0001","IRRIGATION USE","625720","D-21-26 16AAD","390","WITHDRAWAL","GROUNDWATER","","","","","","","60"
"PINAL AMA","PINAL AMA","ELOY","1994","CENTRAL ARIZONA IRRIGATION & DRAINAGE DISTRICT","57-001101.0000","IRRIGATION DISTRICT (SW & GW)","625733","D-09-08 09CDD","65.84","WITHDRAWAL","GROUNDWATER","","","","","","","57"
"PINAL AMA","PINAL AMA","ELOY","1994","CENTRAL ARIZONA IRRIGATION & DRAINAGE DISTRICT","57-001101.0000","IRRIGATION DISTRICT (SW & GW)","625735","D-09-08 09DAA","78.04","WITHDRAWAL","GROUNDWATER","","","","","","","57"
"PINAL AMA","PINAL AMA","ELOY","1994","CENTRAL ARIZONA IRRIGATION & DRAINAGE DISTRICT","57-001101.0000","IRRIGATION DISTRICT (SW & GW)","625736","D-09-08 09AAA","942.1","WITHDRAWAL","GROUNDWATER","","","","","","","57"
"PINAL AMA","PINAL AMA","ELOY","1994","CENTRAL ARIZONA IRRIGATION & DRAINAGE DISTRICT","57-001101.0000","IRRIGATION DISTRICT (SW & GW)","625739","D-08-08 33CDD","517.87","WITHDRAWAL","GROUNDWATER","32","40","35","111","31","28.5","57"
"DOUGLAS INA","DOUGLAS INA","DOUGLAS","1994","E.M. DOWNS","60-203087.0000","NON-IRRIGATION USE","625755","D-22-26 05DBD","5","WITHDRAWAL","GROUNDWATER","","","","","","","60"
"PINAL AMA","PINAL AMA","ELOY","1994","DU-BROOK INVESTMENTS","58-104792.0003","IRRIGATION USE","625760","D-06-07 18ADC","119.73","WITHDRAWAL","GROUNDWATER","","","","","","","58"
"PRESCOTT AMA","PRESCOTT AMA","UPPER AGUA FRIA","1994","YOUNG ACRES INC","58-100544.0000","IRRIGATION USE","625770","A-13-01 11BDB","237.58","WITHDRAWAL","GROUNDWATER","","","","","","","58"
"PRESCOTT AMA","PRESCOTT AMA","UPPER AGUA FRIA","1994","YOUNG ACRES INC","58-100544.0000","IRRIGATION USE","625771","A-13-01 10AAA","19.47","WITHDRAWAL","GROUNDWATER","","","","","","","58"
"PRESCOTT AMA","PRESCOTT AMA","UPPER AGUA FRIA","1994","YOUNG ACRES INC","58-100544.0000","IRRIGATION USE","625773","A-13-01 11BCB","22.09","WITHDRAWAL","GROUNDWATER","","","","","","","58"
"PINAL AMA","PINAL AMA","ELOY","1994","INLAND FARMS INC","58-150064.0001","IRRIGATION USE","625781","D-06-08 17DAD","114.04","WITHDRAWAL","GROUNDWATER","","","","","","","58"
"PINAL AMA","PINAL AMA","ELOY","1994","INLAND FARMS INC","58-103337.0001","IRRIGATION USE","625782","D-06-08 29ACC","139.33","WITHDRAWAL","GROUNDWATER","","","","","","","58"
"PINAL AMA","PINAL AMA","ELOY","1994","INLAND FARMS INC","58-103337.0001","IRRIGATION USE","625783","D-06-08 29ADD","125.45","WITHDRAWAL","GROUNDWATER","","","","","","","58"
"PINAL AMA","PINAL AMA","ELOY","1994","INLAND FARMS INC","58-150064.0001","IRRIGATION USE","625784","D-06-08 17DBD","56.64","WITHDRAWAL","GROUNDWATER","32","53","52.3","111","32","15.9","58"
"PHOENIX AMA","PHOENIX AMA","EAST SALT RIVER VALLEY","1994","SUN LAKES MARKETING LP","58-130460.0001","IRRIGATION USE","625788","D-02-05 04CBC","592.42","WITHDRAWAL","GROUNDWATER","","","","","","","58"
"PHOENIX AMA","PHOENIX AMA","EAST SALT RIVER VALLEY","1994","SUN LAKES MARKETING LP","58-130460.0001","IRRIGATION USE","625791","D-02-05 04DBC","797.54","WITHDRAWAL","GROUNDWATER","","","","","","","58"
"PHOENIX AMA","PHOENIX AMA","EAST SALT RIVER VALLEY","1994","SUN LAKES MARKETING LP","58-130460.0001","IRRIGATION USE","625792","D-01-05 32DDA","797.85","WITHDRAWAL","GROUNDWATER","33","17","42.2","111","51","32.9","58"
