"AMA INA","Basin","Subbasin","YEAR","Owner or BMP Operator","Right Number","Right Type","Well Id","CADASTRAL","AF Pumped","Movement Type","Water Type","LAT_DEGREES","LAT_MINUTES","LAT_SECONDS","LONG_DEGREES","LONG_MINUTES","LONG_SECONDS","PROGRAM"
"PHOENIX AMA","PHOENIX AMA","WEST SALT RIVER VALLEY","1990","CHRYSLER CORPORATION","58-102408.0001","TYPE 2 NON-IRRIGATION GFR","060001","B-05-02 08CCB","23.06","WITHDRAWAL","GROUNDWATER","33","47","6","112","29","54","58"
"TUCSON AMA","TUCSON AMA","UPPER SANTA CRUZ","1990","RONALD R TANKERSLEY","58-109006.0000","IRRIGATION USE","084067","D-13-15 33DBB","7.81","WITHDRAWAL","GROUNDWATER","","","","","","","58"
"TUCSON AMA","TUCSON AMA","UPPER SANTA CRUZ","1990","JAY LYNN TANKERSLEY","58-109008.0000","TYPE 2 NON-IRRIGATION GFR","084067","D-13-15 33DBB","7.8","WITHDRAWAL","GROUNDWATER","","","","","","","58"
"PHOENIX AMA","PHOENIX AMA","HASSAYAMPA","1990","STOTZ FARMS","59-085683.0000","GENERAL INDUSTRIAL USE WITHDRAWAL PERM","084785","B-01-04 18AAC","69.05","WITHDRAWAL","GROUNDWATER","33","25","56.29","112","41","40.9","59"
"PHOENIX AMA","PHOENIX AMA","HASSAYAMPA","1990","STOTZ FARMS","59-085683.0000","GENERAL INDUSTRIAL USE WITHDRAWAL PERM","084786","B-01-04 18AAD","100.87","WITHDRAWAL","GROUNDWATER","33","25","56.29","112","41","40.9","59"
"PHOENIX AMA","PHOENIX AMA","WEST SALT RIVER VALLEY","1990","CITY OF EL MIRAGE","56-002016.0000","LARGE MUNICIPAL PROVIDER","085252","B-03-01 13BAA","107.29","WITHDRAWAL","GROUNDWATER","33","36","30","112","18","56","56"
"PHOENIX AMA","PHOENIX AMA","EAST SALT RIVER VALLEY","1990","","58-100117.0000","TYPE 2 NON-IRRIGATION GFR","085339","D-02-06 34AAD","41.98","WITHDRAWAL","GROUNDWATER","33","12","59","111","43","12","58"
"PINAL AMA","PINAL AMA","MARICOPA-STANFIELD","1990","DRAKE AGGREGATES LLC AN ARIZONA LIMITED LIABILITY COMPANY","58-109331.0000","TYPE 2 NON-IRRIGATION GFR","085518","D-04-03 17DDA","2.2","WITHDRAWAL","GROUNDWATER","","","","","","","58"
"PINAL AMA","PINAL AMA","ELOY","1990","CENTRAL ARIZONA IRRIGATION & DRAINAGE DISTRICT","57-001101.0000","IRRIGATION DISTRICT (SW & GW)","085622","D-08-07 11ADD","86.33","WITHDRAWAL","GROUNDWATER","","","","","","","57"
"PINAL AMA","PINAL AMA","MARICOPA-STANFIELD","1990","MARICOPA STANFIELD IRRIGATION","57-001103.0000","IRRIGATION DISTRICT (SW & GW)","085665","D-06-03 34AAA","365.97","WITHDRAWAL","GROUNDWATER","","","","","","","57"
