AMA INA,Basin,Subbasin,YEAR,Owner or BMP Operator,Right Number,Right Type,Well Id,CADASTRAL,AF Pumped,Movement Type,Water Type,LAT_DEGREES,LAT_MINUTES,LAT_SECONDS,LONG_DEGREES,LONG_MINUTES,LONG_SECONDS,PROGRAM
PHOENIX AMA,PHOENIX AMA,WEST SALT RIVER VALLEY,2022,ROUTE 14 INVESTMENT PARTNERS LLC,58-102408.0004,TYPE 2 NON-IRRIGATION GFR,60001,B-05-02 08CCB,1.867,WITHDRAWAL,GROUNDWATER,33,47,6,112,29,54,58
PHOENIX AMA,PHOENIX AMA,HASSAYAMPA,2022,STOTZ DAIRY,59-219101.0000,GENERAL INDUSTRIAL USE WITHDRAWAL PERM,84785,B-01-04 18AAC,72.61,WITHDRAWAL,GROUNDWATER,33,25,56.29,112,41,40.9,59
PHOENIX AMA,PHOENIX AMA,HASSAYAMPA,2022,STOTZ DAIRY,59-219101.0000,GENERAL INDUSTRIAL USE WITHDRAWAL PERM,84786,B-01-04 18AAD,148.35,WITHDRAWAL,GROUNDWATER,33,25,56.29,112,41,40.9,59
HARQUAHALA VALLEY INA,HARQUAHALA INA,HARQUAHALA,2022,"CV HARQUAHALA LLC, AN ARIZONA LIMITED LIABILITY COMPANY",60-201119.0007,IRRIGATION USE,85118,B-01-08 07CBB,2279.794,WITHDRAWAL,GROUNDWATER,,,,,,,60
TUCSON AMA,TUCSON AMA,UPPER SANTA CRUZ,2022,RINCON MESA LANDOWNER'S ASSN,91-000472.0000,SMALL COMMUNITY WATER SYSTEM,85141,D-15-16 33AAC,4.952,WITHDRAWAL,GROUNDWATER,,,,,,,91
PHOENIX AMA,PHOENIX AMA,WEST SALT RIVER VALLEY,2022,CITY OF EL MIRAGE,56-002016.0000,LARGE MUNICIPAL PROVIDER,85252,B-03-01 13BAA,602.17,WITHDRAWAL,GROUNDWATER,33,36,30,112,18,56,56
NOT WITHIN ANY AMA OR INA,GILA BEND,GILA BEND,2022,PALOMA RANCH,91-000262.0000,SMALL COMMUNITY WATER SYSTEM,85270,C-06-06 10BCB,242,WITHDRAWAL,GROUNDWATER,,,,,,,91
PINAL AMA,PINAL AMA,MARICOPA-STANFIELD,2022,"POCO DINERO, LLC",58-107767.0002,TYPE 2 NON-IRRIGATION GFR,85518,D-04-03 17DDA,15.34,WITHDRAWAL,GROUNDWATER,,,,,,,58
PINAL AMA,PINAL AMA,ELOY,2022,CENTRAL ARIZONA IRRIGATION & DRAINAGE DISTRICT,57-001101.0000,IRRIGATION DISTRICT (SW & GW),85622,D-08-07 11ADD,161.58,WITHDRAWAL,GROUNDWATER,,,,,,,57
PINAL AMA,PINAL AMA,MARICOPA-STANFIELD,2022,MARICOPA STANFIELD IRRIGATION,57-001103.0000,IRRIGATION DISTRICT (SW & GW),85665,D-06-03 34AAA,2152.73,WITHDRAWAL,GROUNDWATER,,,,,,,57
PHOENIX AMA,PHOENIX AMA,HASSAYAMPA,2022,STOTZ DAIRY,59-219101.0000,GENERAL INDUSTRIAL USE WITHDRAWAL PERM,85683,B-01-04 18AAC,3.13,WITHDRAWAL,GROUNDWATER,33,25,56.4,112,41,47.8,59
TUCSON AMA,TUCSON AMA,UPPER SANTA CRUZ,2022,PIMA COUNTY PARKS & RECREATION,58-100379.0004,TYPE 2 NON-IRRIGATION GFR,85744,D-12-13 19ADA,28.186,WITHDRAWAL,GROUNDWATER,,,,,,,58
