"AMA INA","Basin","Subbasin","YEAR","Owner or BMP Operator","Right Number","Right Type","Well Id","CADASTRAL","AF Pumped","Movement Type","Water Type","LAT_DEGREES","LAT_MINUTES","LAT_SECONDS","LONG_DEGREES","LONG_MINUTES","LONG_SECONDS","PROGRAM"
"PHOENIX AMA","PHOENIX AMA","WEST SALT RIVER VALLEY","1996","CHRYSLER CORPORATION","58-102408.0001","TYPE 2 NON-IRRIGATION GFR","060001","B-05-02 08CCB","29.85","WITHDRAWAL","GROUNDWATER","33","47","6","112","29","54","58"
"PHOENIX AMA","PHOENIX AMA","HASSAYAMPA","1996","STOTZ FARMS","59-085683.0000","GENERAL INDUSTRIAL USE WITHDRAWAL PERM","084785","B-01-04 18AAC","53.5","WITHDRAWAL","GROUNDWATER","33","25","56.29","112","41","40.9","59"
"PHOENIX AMA","PHOENIX AMA","HASSAYAMPA","1996","STOTZ FARMS","59-085683.0000","GENERAL INDUSTRIAL USE WITHDRAWAL PERM","084786","B-01-04 18AAD","151.79","WITHDRAWAL","GROUNDWATER","33","25","56.29","112","41","40.9","59"
"PHOENIX AMA","PHOENIX AMA","WEST SALT RIVER VALLEY","1996","CITY OF EL MIRAGE","56-002016.0000","LARGE MUNICIPAL PROVIDER","085252","B-03-01 13BAA","261.07","WITHDRAWAL","GROUNDWATER","33","36","30","112","18","56","56"
"PHOENIX AMA","PHOENIX AMA","EAST SALT RIVER VALLEY","1996","","58-100117.0000","TYPE 2 NON-IRRIGATION GFR","085339","D-02-06 34AAD","33.11","WITHDRAWAL","GROUNDWATER","33","12","59","111","43","12","58"
"TUCSON AMA","TUCSON AMA","UPPER SANTA CRUZ","1996","CITY OF TUCSON/TUCSON WATER","56-000001.0000","LARGE MUNICIPAL PROVIDER","085358","D-14-15 06ADB","242.7","WITHDRAWAL","GROUNDWATER","32","14","48.22","110","50","36.35","56"
"PINAL AMA","PINAL AMA","ELOY","1996","CENTRAL ARIZONA IRRIGATION & DRAINAGE DISTRICT","57-001101.0000","IRRIGATION DISTRICT (SW & GW)","085622","D-08-07 11ADD","26","WITHDRAWAL","GROUNDWATER","","","","","","","57"
"PINAL AMA","PINAL AMA","MARICOPA-STANFIELD","1996","MARICOPA STANFIELD IRRIGATION","57-001103.0000","IRRIGATION DISTRICT (SW & GW)","085665","D-06-03 34AAA","2130.47","WITHDRAWAL","GROUNDWATER","","","","","","","57"
"PHOENIX AMA","PHOENIX AMA","HASSAYAMPA","1996","STOTZ FARMS","59-085683.0000","GENERAL INDUSTRIAL USE WITHDRAWAL PERM","085683","B-01-04 18AAC","101.32","WITHDRAWAL","GROUNDWATER","33","25","56.4","112","41","47.8","59"
"TUCSON AMA","TUCSON AMA","UPPER SANTA CRUZ","1996","TUCSON READY MIX, INC","59-512014.0000","MINERAL EXTRACTION","085685","D-15-16 19AAA","230.74","WITHDRAWAL","GROUNDWATER","","","","","","","59"
"PHOENIX AMA","PHOENIX AMA","WEST SALT RIVER VALLEY","1996","TRIPLE G FARMS","59-085686.0000","GENERAL INDUSTRIAL USE WITHDRAWAL PERM","085686","B-01-01 14DAC","81.7","WITHDRAWAL","GROUNDWATER","33","25","32","112","19","37","59"
"PHOENIX AMA","PHOENIX AMA","EAST SALT RIVER VALLEY","1996","ALLIED CONCRETE & MATERIALS CO","59-085690.0000","MINERAL EXTRACTION","085690","A-02-06 29DDD","3.42","WITHDRAWAL","GROUNDWATER","","","","","","","59"
"TUCSON AMA","TUCSON AMA","UPPER SANTA CRUZ","1996","PIMA COUNTY PARKS & RECREATION","59-085744.0000","GENERAL INDUSTRIAL USE WITHDRAWAL PERM","085744","D-12-13 19ADA","35.66","WITHDRAWAL","GROUNDWATER","","","","","","","59"
"TUCSON AMA","TUCSON AMA","UPPER SANTA CRUZ","1996","PIMA COUNTY PARKS & RECREATION","58-100376.0001","TYPE 2 NON-IRRIGATION GFR","085744","D-12-13 19ADA","2","WITHDRAWAL","GROUNDWATER","","","","","","","58"
"PHOENIX AMA","PHOENIX AMA","HASSAYAMPA","1996","WALDO BUTLER REVOCABLE TRUST DTD 8/15/90","58-100926.0003","IRRIGATION USE","085958","B-02-06 23AAA","105.11","WITHDRAWAL","GROUNDWATER","","","","","","","58"
"PHOENIX AMA","PHOENIX AMA","EAST SALT RIVER VALLEY","1996","ARNOLD ANGLIN","59-501146.0000","GENERAL INDUSTRIAL USE WITHDRAWAL PERM","085994","D-02-07 14AB","45.49","WITHDRAWAL","GROUNDWATER","","","","","","","59"
"PINAL AMA","PINAL AMA","MARICOPA-STANFIELD","1996","NORTHSIDE HAY COMPANY INC","58-150072.0002","TYPE 2 NON-IRRIGATION GFR","086077","D-05-04 08DDD","320.27","WITHDRAWAL","GROUNDWATER","","","","","","","58"
"PINAL AMA","PINAL AMA","MARICOPA-STANFIELD","1996","MARICOPA STANFIELD IRRIGATION","57-001103.0000","IRRIGATION DISTRICT (SW & GW)","086247","D-05-03 12CDD","2335.81","WITHDRAWAL","GROUNDWATER","","","","","","","57"
"SANTA CRUZ AMA","SANTA CRUZ AMA","SANTA CRUZ AMA","1996","TROYER, GARY G.","58-103495.0001","IRRIGATION USE","086314","D-21-13 17ACC","25.63","WITHDRAWAL","GROUNDWATER","","","","","","","58"
"PHOENIX AMA","PHOENIX AMA","WEST SALT RIVER VALLEY","1996","BASSETT, PERRY E","58-101595.0002","IRRIGATION USE","086408","B-03-01 20BBB","1254.66","WITHDRAWAL","GROUNDWATER","33","35","","112","23","","58"
"DOUGLAS INA","DOUGLAS INA","DOUGLAS","1996","EVELYN SIMMONS SMITH","60-203303.0000","IRRIGATION USE","086552","D-18-26 21DAC","87","WITHDRAWAL","GROUNDWATER","","","","","","","60"
"PINAL AMA","PINAL AMA","ELOY","1996","CENTRAL ARIZONA IRRIGATION & DRAINAGE DISTRICT","57-001101.0000","IRRIGATION DISTRICT (SW & GW)","086602","D-08-06 26DBB","832","WITHDRAWAL","GROUNDWATER","","","","","","","57"
"DOUGLAS INA","DOUGLAS INA","DOUGLAS","1996","MILLER, MICHAEL D & GWEN E","60-203211.0000","IRRIGATION USE","086641","D-18-26 22CDD","390.16","WITHDRAWAL","GROUNDWATER","","","","","","","60"
"DOUGLAS INA","DOUGLAS INA","DOUGLAS","1996","CARLOS SANUDO","60-203212.0001","IRRIGATION USE","086643","D-18-26 28ACD","202.93","WITHDRAWAL","GROUNDWATER","","","","","","","60"
"PHOENIX AMA","PHOENIX AMA","WEST SALT RIVER VALLEY","1996","TUCKER JON A","58-108810.0000","IRRIGATION USE","086681","B-01-02 22BAB","321.06","WITHDRAWAL","GROUNDWATER","","","","","","","58"
"PINAL AMA","PINAL AMA","ELOY","1996","CENTRAL ARIZONA IRRIGATION & DRAINAGE DISTRICT","57-001101.0000","IRRIGATION DISTRICT (SW & GW)","086830","D-07-06 34DCC","820","WITHDRAWAL","GROUNDWATER","","","","","","","57"
"PINAL AMA","PINAL AMA","ELOY","1996","CENTRAL ARIZONA IRRIGATION & DRAINAGE DISTRICT","57-001101.0000","IRRIGATION DISTRICT (SW & GW)","086835","D-08-08 12DAD","964","WITHDRAWAL","GROUNDWATER","","","","","","","57"
"TUCSON AMA","TUCSON AMA","UPPER SANTA CRUZ","1996","ARIZONA DEPT. OF CORRECTIONS - TUCSON","56-000362.0000","LARGE MUNICIPAL PROVIDER MNPCCP","086902","D-16-14 01DAD","70.08","WITHDRAWAL","GROUNDWATER","","","","","","","56"
"PINAL AMA","PINAL AMA","MARICOPA-STANFIELD","1996","MARICOPA STANFIELD IRRIGATION","57-001103.0000","IRRIGATION DISTRICT (SW & GW)","086952","D-05-03 21DDC","617.17","WITHDRAWAL","GROUNDWATER","","","","","","","57"
"PINAL AMA","PINAL AMA","ELOY","1996","CENTRAL ARIZONA IRRIGATION & DRAINAGE DISTRICT","57-001101.0000","IRRIGATION DISTRICT (SW & GW)","087003","D-09-07 11DAD","154","WITHDRAWAL","GROUNDWATER","","","","","","","57"
"PINAL AMA","PINAL AMA","MARICOPA-STANFIELD","1996","ANDERSON BROTHERS FARM WATER","56-001303.0000","MUNICIPAL PROVIDER (GW ONLY)","087174","D-06-04 04DDD","50.21","WITHDRAWAL","GROUNDWATER","","","","","","","56"
"PINAL AMA","PINAL AMA","ELOY","1996","CENTRAL ARIZONA IRRIGATION & DRAINAGE DISTRICT","57-001101.0000","IRRIGATION DISTRICT (SW & GW)","087194","D-08-06 26DDA","811","WITHDRAWAL","GROUNDWATER","","","","","","","57"
"PINAL AMA","PINAL AMA","MARICOPA-STANFIELD","1996","MARICOPA STANFIELD IRRIGATION","57-001103.0000","IRRIGATION DISTRICT (SW & GW)","087212","D-06-04 16DDD","1121.38","WITHDRAWAL","GROUNDWATER","","","","","","","57"
"PINAL AMA","PINAL AMA","ELOY","1996","CENTRAL ARIZONA IRRIGATION & DRAINAGE DISTRICT","57-001101.0000","IRRIGATION DISTRICT (SW & GW)","087213","D-09-08 36ADD","1349","WITHDRAWAL","GROUNDWATER","","","","","","","57"
"PINAL AMA","PINAL AMA","MARICOPA-STANFIELD","1996","MARICOPA STANFIELD IRRIGATION","57-001103.0000","IRRIGATION DISTRICT (SW & GW)","087270","D-06-04 18DBB","318.59","WITHDRAWAL","GROUNDWATER","","","","","","","57"
"TUCSON AMA","TUCSON AMA","UPPER SANTA CRUZ","1996","ORO VALLEY COUNTRY CLUB, INC.","58-101530.0000","TYPE 2 NON-IRRIGATION GFR","087589","D-12-13 13BCA","416","WITHDRAWAL","GROUNDWATER","","","","","","","58"
"PHOENIX AMA","PHOENIX AMA","EAST SALT RIVER VALLEY","1996","CITY OF PHOENIX","56-002030.0000","LARGE MUNICIPAL PROVIDER","087614","A-04-04 33CCC","136.26","WITHDRAWAL","GROUNDWATER","","","","","","","56"
"TUCSON AMA","TUCSON AMA","AVRA VALLEY","1996","PIMA COUNTY SOLID WASTE","59-087618.0000","GENERAL INDUSTRIAL USE WITHDRAWAL PERM","087618","D-12-11 02BAA","30.22","WITHDRAWAL","GROUNDWATER","","","","","","","59"
"PHOENIX AMA","PHOENIX AMA","WEST SALT RIVER VALLEY","1996","CITY OF BUCKEYE","56-002006.0000","LARGE MUNICIPAL PROVIDER MNPCCP","087674","C-01-03 05BAA","894.23","WITHDRAWAL","GROUNDWATER","","","","","","","56"
"PHOENIX AMA","PHOENIX AMA","EAST SALT RIVER VALLEY","1996","DESERT HILLS WATER COMPANY","56-002169.0000","LARGE MUNICIPAL PROVIDER MNPCCP","087697","A-05-03 04CDC","68.12","WITHDRAWAL","GROUNDWATER","","","","","","","56"
"TUCSON AMA","TUCSON AMA","UPPER SANTA CRUZ","1996","VAIL WATER COMPANY","56-000060.0000","LARGE MUNICIPAL PROVIDER MNPCCP","087817","D-16-16 10DCB","32.31","WITHDRAWAL","GROUNDWATER","32","3","2.3","110","41","46.6","56"
"DOUGLAS INA","DOUGLAS INA","DOUGLAS","1996","ALAMO RANCH CO","60-203004.0000","IRRIGATION USE","500250","D-21-26 30CCB","272","WITHDRAWAL","GROUNDWATER","","","","","","","60"
"PHOENIX AMA","PHOENIX AMA","EAST SALT RIVER VALLEY","1996","CITY OF SCOTTSDALE","56-002037.0000","LARGE MUNICIPAL PROVIDER MNPCCP","500319","A-04-04 14DCC","3311.54","WITHDRAWAL","GROUNDWATER","","","","","","","56"
"TUCSON AMA","TUCSON AMA","AVRA VALLEY","1996","CORTARO-MARANA IRRIGATION DIST","57-000035.0000","IRRIGATION DISTRICT (SW & GW)","500556","D-11-11 28ACC","913.41","WITHDRAWAL","GROUNDWATER","","","","","","","57"
"PHOENIX AMA","PHOENIX AMA","EAST SALT RIVER VALLEY","1996","DAVE  BUCHLI","59-500591.0000","GENERAL INDUSTRIAL USE WITHDRAWAL PERM","500591","D-03-09 18BCC","57.3","WITHDRAWAL","GROUNDWATER","","","","","","","59"
"PHOENIX AMA","PHOENIX AMA","WEST SALT RIVER VALLEY","1996","IMSAMET OF ARIZONA","59-546391.0000","MINERAL EXTRACTION","500659","B-01-01 20CBA","263.7","WITHDRAWAL","GROUNDWATER","33","24","48.152","112","23","18.572","59"
"PHOENIX AMA","PHOENIX AMA","EAST SALT RIVER VALLEY","1996","MICHAEL SCHUGG","59-500687.0000","GENERAL INDUSTRIAL USE WITHDRAWAL PERM","500687","D-02-06 17ABB","51.8","WITHDRAWAL","GROUNDWATER","33","15","48","111","45","50","59"
"PHOENIX AMA","PHOENIX AMA","WEST SALT RIVER VALLEY","1996","","59-519134.0000","GENERAL INDUSTRIAL USE WITHDRAWAL PERM","500717","A-01-01 30AAD","263.57","WITHDRAWAL","GROUNDWATER","","","","","","","59"
"TUCSON AMA","TUCSON AMA","UPPER SANTA CRUZ","1996","BREAKERS 95 LLC","59-502115.0000","GENERAL INDUSTRIAL USE WITHDRAWAL PERM","500800","D-12-12 05ACC","13.5","WITHDRAWAL","GROUNDWATER","","","","","","","59"
"PINAL AMA","PINAL AMA","ELOY","1996","K & D FARMS","59-500865.0000","GENERAL INDUSTRIAL USE WITHDRAWAL PERM","500865","D-06-07 07DCD","213.28","WITHDRAWAL","GROUNDWATER","","","","","","","59"
"PHOENIX AMA","PHOENIX AMA","WEST SALT RIVER VALLEY","1996","DWIGHT B LEISTER JR","58-103643.0000","IRRIGATION USE","500878","B-01-02 21ABB","634.5","WITHDRAWAL","GROUNDWATER","","","","","","","58"
"SANTA CRUZ AMA","SANTA CRUZ AMA","SANTA CRUZ AMA","1996","VALLE VERDE WATER COMPANY","56-000228.0000","SMALL MUNICIPAL PROVIDER","500951","D-23-13 25ABA","35.87","WITHDRAWAL","GROUNDWATER","","","","","","","56"
"TUCSON AMA","TUCSON AMA","UPPER SANTA CRUZ","1996","AZ BOARD OF REGENTS","59-086362.0000","GENERAL INDUSTRIAL USE WITHDRAWAL PERM","500957","D-15-15 33ADB","170","WITHDRAWAL","GROUNDWATER","","","","","","","59"
"PRESCOTT AMA","PRESCOTT AMA","UPPER AGUA FRIA","1996","BRADSHAW WATER COMPANY INC","56-003019.0000","SMALL MUNICIPAL PROVIDER","501033","B-14-01 34BBB","3.17","WITHDRAWAL","GROUNDWATER","","","","","","","56"
"PHOENIX AMA","PHOENIX AMA","HASSAYAMPA","1996","RUTH FISHER SCHOOL","59-501391.0000","GENERAL INDUSTRIAL USE WITHDRAWAL PERM","501144","B-02-06 28AAC","47.34","WITHDRAWAL","GROUNDWATER","","","","","","","59"
"PHOENIX AMA","PHOENIX AMA","RAINBOW VALLEY","1996","INTER INVEST PARTNERSHIP XI","58-101122.0001","IRRIGATION USE","501246","C-02-01 30DDD","200.82","WITHDRAWAL","GROUNDWATER","","","","","","","58"
"PHOENIX AMA","PHOENIX AMA","WEST SALT RIVER VALLEY","1996","CITY OF AVONDALE","56-002003.0000","LARGE MUNICIPAL PROVIDER MNPCCP","501247","B-02-01 26AAA","1340","WITHDRAWAL","GROUNDWATER","","","","","","","56"
