"AMA INA","Basin","Subbasin","YEAR","Owner or BMP Operator","Right Number","Right Type","Well Id","CADASTRAL","AF Pumped","Movement Type","Water Type","LAT_DEGREES","LAT_MINUTES","LAT_SECONDS","LONG_DEGREES","LONG_MINUTES","LONG_SECONDS","PROGRAM"
"PHOENIX AMA","PHOENIX AMA","WEST SALT RIVER VALLEY","2024","ROUTE 14 INVESTMENT PARTNERS LLC","58-102408.0004","TYPE 2 NON-IRRIGATION GFR","060001","B-05-02 08CCB","1.352","WITHDRAWAL","GROUNDWATER","33","47","6","112","29","54","58"
"DOUGLAS AMA","DOUGLAS INA","DOUGLAS","2024","LHOIST NORTH AMERICA OF ARIZONA","60-203044.0000","NON-IRRIGATION USE","085057","D-24-26 05CCC","38.74","WITHDRAWAL","GROUNDWATER","","","","","","","60"
"HARQUAHALA VALLEY INA","HARQUAHALA INA","HARQUAHALA","2024","CV HARQUAHALA LLC, AN ARIZONA LIMITED LIABILITY COMPANY","60-201119.0009","IRRIGATION USE","085118","B-01-08 07CBB","1167.699","WITHDRAWAL","GROUNDWATER","","","","","","","60"
"HARQUAHALA VALLEY INA","HARQUAHALA INA","HARQUAHALA","2024","CV HARQUAHALA II LLC","60-201119.0008","IRRIGATION USE","085118","B-01-08 07CBB","423.537","WITHDRAWAL","GROUNDWATER","","","","","","","60"
"PINAL AMA","PINAL AMA","ELOY","2024","CENTRAL ARIZONA IRRIGATION & DRAINAGE DISTRICT","57-001101.0000","IRRIGATION DISTRICT (SW & GW)","085622","D-08-07 11ADD","130.5","WITHDRAWAL","GROUNDWATER","","","","","","","57"
"PINAL AMA","PINAL AMA","MARICOPA-STANFIELD","2024","MARICOPA STANFIELD IRRIGATION","57-001103.0000","IRRIGATION DISTRICT (SW & GW)","085665","D-06-03 34AAA","1684.9","WITHDRAWAL","GROUNDWATER","","","","","","","57"
"TUCSON AMA","TUCSON AMA","UPPER SANTA CRUZ","2024","PIMA COUNTY PARKS & RECREATION","58-100379.0004","TYPE 2 NON-IRRIGATION GFR","085744","D-12-13 19ADA","24.783","WITHDRAWAL","GROUNDWATER","","","","","","","58"
"TUCSON AMA","TUCSON AMA","UPPER SANTA CRUZ","2024","CITY OF TUCSON/TUCSON WATER","74-560621.0009","RECOVERY WELL PERMITS","086158","D-12-12 21ADB","0.09","RECOVERED","CAP WATER RECOVERED","32","22","33","111","7","4","74"
"PINAL AMA","PINAL AMA","MARICOPA-STANFIELD","2024","MARICOPA STANFIELD IRRIGATION","57-001103.0000","IRRIGATION DISTRICT (SW & GW)","086247","D-05-03 12CDD","2095.14","WITHDRAWAL","GROUNDWATER","","","","","","","57"
"SANTA CRUZ AMA","SANTA CRUZ AMA","SANTA CRUZ AMA","2024","TRUE RESOURCES, LLC","58-103495.0003","IRRIGATION USE","086314","D-21-13 17ACC","11.45","WITHDRAWAL","GROUNDWATER","","","","","","","58"
"PHOENIX AMA","PHOENIX AMA","EAST SALT RIVER VALLEY","2024","QUEEN CREEK WATER DEPARTMENT","56-002032.0002","LARGE MUNICIPAL PROVIDER MNPCCP","086441","D-02-08 32DDD","916.96","WITHDRAWAL","GROUNDWATER","33","12","35","111","32","78","56"
"PINAL AMA","PINAL AMA","ELOY","2024","CENTRAL ARIZONA IRRIGATION & DRAINAGE DISTRICT","57-001101.0000","IRRIGATION DISTRICT (SW & GW)","086602","D-08-06 26DBB","614.73","WITHDRAWAL","GROUNDWATER","","","","","","","57"
